loan_id,loan_type,customer_id,loan_amount,loan_interest_rate,loan_start_date,loan_end_date,loan_status
7be653d7-a84e-4c0d-97c4-9de2b800bb70,Education,b951aa45-c00a-41d3-abe7-6effca1b2fe6,502,4,2017-02-06,2024-04-29,Default
c803f9cf-77c0-4625-bbf7-1b9cc11bcae4,Education,c033333a-0a01-47fc-b023-46670eab2630,954,11,2020-02-05,2029-05-03,Closed
27d4a494-4297-4043-8436-ca746d37abe5,Business,1dc3f91b-a4fe-42af-a33f-a014e290a160,880,15,2017-09-27,2026-02-12,Active
598b6675-c5f7-406d-a408-1e8d10471030,Personal,9871b189-62d4-44d8-9af4-09d9624497fd,309,11,2016-05-04,2016-08-28,Closed
d8ceccd4-e9e1-4638-8e33-96c06095b157,Home,bb1f39ca-70cd-4af9-a1ae-3c6de89d6fa9,566,6,2020-02-01,2028-06-19,Closed
caa00631-4070-4393-844a-55829582f762,Business,3f582f05-c496-4ede-873e-c31a7f40ab2f,674,5,2021-01-10,2024-11-11,Active
c036acf6-f755-4524-a2b5-659564d6abd6,Education,4360c96b-896e-48bc-8d6a-4a8ce84b4b53,955,7,2015-11-15,2029-10-13,Active
1a553852-8276-482a-a49f-cec159bd93e8,Business,d680cc3c-4a93-4bc7-9d37-40077d141d2c,231,9,2020-04-27,2026-08-22,Closed
e3e19850-a009-4bbb-b6c3-f596e5fc9f88,Personal,7b9ac17d-641e-4aef-abd0-3e7c40d130fc,758,9,2018-03-09,2025-06-22,Closed
5b66f4e8-478a-49fb-aa22-43193d994867,Personal,89561d20-b203-4ebf-878c-d0fc36115ad3,189,2,2023-01-01,2028-08-18,Closed
07bc1d8e-238f-4d73-80d1-78f587a1689d,Auto,ee318ebf-29ff-471d-8b85-b38daec0b9ec,928,2,2021-10-17,2025-10-19,Default
951e0af4-a4a1-4dea-961a-735bb1a68deb,Education,c526d124-a6df-4611-98cf-76d133d9f30b,178,8,2021-05-26,2024-08-12,Active
822fea04-6a69-4121-a702-f9e235200ed6,Auto,676a16fb-cd7b-47b7-9273-f6355af87df0,414,5,2023-11-15,2028-01-20,Closed
28310de4-7429-424e-913d-7a4e3f860f6f,Education,bb2be4f6-6324-4f13-ab38-3c9e27d8ef1f,373,2,2018-06-11,2025-02-08,Closed
523eb987-7f13-4b09-9bef-31ff2062e877,Education,d46620bb-99bf-4171-90e5-78d568d6f736,977,11,2021-07-13,2025-10-03,Default
5b51c90d-5e31-490d-bc2c-052d43187462,Home,58ea10fd-2854-430c-bae5-04166553f738,193,7,2020-12-25,2021-06-30,Active
923be2fb-cd41-4996-aeba-1158298bcf70,Education,ec3b6a43-8af1-4b4e-b8cc-53fa84bed3b9,915,9,2017-10-06,2026-03-30,Default
6927e5b3-6200-4a30-b3b7-47492f861e71,Business,df009c2e-3d70-4dfc-9c72-4ce8cf3b6104,967,14,2018-09-29,2027-08-07,Default
c5627eff-92da-4cff-8afd-f8c573b342b4,Education,299f8071-5c17-43d0-af95-1858143f5bac,154,11,2019-07-01,2027-03-23,Default
cbf6ebcb-1d17-4826-886b-0ef76e26a8ab,Home,bcf90beb-eed4-43ca-b539-13f02002138e,181,7,2019-05-25,2028-06-08,Active
393808f8-d619-4705-8439-4fa7e666bb63,Auto,3b175211-a7df-44cc-bc50-810942238bea,53,7,2022-04-03,2029-10-30,Active
fb1cb453-da4b-4509-ac79-3b81214433e1,Home,4a9556de-beae-41f8-b8c8-66642ff71467,633,8,2018-01-29,2026-06-12,Closed
955815f4-f84c-41c6-9aa4-2b1ac4698016,Education,b2f11f3d-2184-4526-8d78-d20c91b3e530,258,8,2022-11-21,2027-03-07,Active
5d0b5a55-5c0e-428e-b022-e928f4b10d3b,Auto,5b74a8ff-f37b-4f94-be22-e146d166ed76,360,4,2023-05-10,2024-07-02,Closed
014228bf-ad37-49b2-8d1f-f79f5b9c5b16,Auto,90cd4b16-429b-494a-ab64-3264773b92f3,304,12,2017-10-18,2028-04-29,Closed
d0978861-4d76-447f-8f9f-1ae632ccffe2,Home,7d8fdcd1-255c-4661-bb37-a21e96fea415,649,11,2015-06-27,2027-02-01,Closed
bf4e6c30-18d5-4253-a922-6bc77264091e,Business,bcc5a2f8-88de-452f-94c3-f9a2849faf94,750,6,2023-05-14,2025-08-29,Closed
c36a188f-396d-47fc-b815-ebb16df0046a,Home,4c4757c9-3ce0-4cab-99c5-9ed035992de7,793,13,2017-08-10,2028-03-07,Closed
ebf6de0e-1ab5-4574-b44d-ade7368e11d0,Home,5fc43a03-8ebb-4e9f-8481-286a3015b577,809,11,2015-11-17,2024-04-20,Default
599c9dd5-d105-49b3-a6aa-4695f7411144,Home,5f103839-3931-4a33-8646-448b4f0edf1c,699,14,2017-02-07,2027-06-09,Closed
fece9652-d166-42ee-bbb0-d2dfb6bb87d6,Business,3f20c1a5-e567-41da-a9dd-4ac81244b26f,941,13,2015-05-19,2029-11-28,Closed
49f7ddda-a195-474a-8df7-d41ba5d1a4fb,Home,df009c2e-3d70-4dfc-9c72-4ce8cf3b6104,161,8,2022-09-17,2026-05-04,Default
f9e52108-e564-4bff-a1c6-d34bcc996d28,Home,39299427-531e-476a-a3e8-d4c56c97e228,182,5,2022-09-03,2027-09-07,Active
8f4ab326-ed1f-4b45-a83a-d7a91b60f29f,Personal,859ecd67-941b-4c7c-a477-8dcb2912b5d0,348,8,2023-10-11,2029-02-17,Closed
2309775b-97a6-4a08-9824-8b6e4ab903c2,Auto,f8b81790-100e-4df1-a0ce-df284765415d,70,8,2020-08-23,2024-09-28,Closed
ffa2f8d7-b70d-4765-be9c-2594eb982564,Auto,80a83bfc-473f-4351-b0e3-cc127172e467,189,12,2015-09-05,2027-04-21,Active
c0b96806-5a6a-43e6-a152-b8914f0910fe,Home,2e1b2266-d34f-4d01-b000-2b0fe1ee2f62,791,8,2017-12-31,2027-07-08,Closed
13b68d76-95e9-40ab-a911-fea49d1be440,Auto,e7a9002b-daba-4050-9814-b020388c3934,289,8,2021-08-01,2022-07-29,Active
193cce07-ec25-4788-a4b6-264caaa2a46a,Education,6a57f2ed-e1c1-4ad6-afa1-2ffaab372997,384,4,2015-05-07,2028-02-06,Active
9ba9de19-fc21-4c57-8754-781a239bb4ab,Personal,48520cea-e6b9-45a9-bbb0-6eaf83c840d5,297,2,2020-04-24,2028-02-13,Active
832e73bd-7a22-41ab-9f55-43a85a0a1455,Home,0dd8a521-0e07-4972-b579-0006829d0985,134,14,2021-09-14,2024-05-21,Active
7bb2b447-bf43-4255-a140-3f2bd3645c42,Auto,b8264e7c-4d14-4241-a5f0-8c7d684f655d,313,13,2016-03-17,2026-10-15,Active
96ea8c78-ac97-4cb5-9018-bfffabf5e7ec,Auto,07fb7e17-e8d4-46f6-9a76-97f9fd0623b7,63,9,2023-10-26,2026-07-01,Default
5b450b7a-07d5-4747-a526-ed3a3f4da535,Personal,3640592f-a4f2-4a48-af07-7c6030b14cb1,485,13,2021-12-30,2029-05-02,Closed
b1550182-518b-4233-b2a0-b20109ac3066,Business,8c4b6b86-e018-442f-93a0-59c4d7b5f37f,708,4,2023-05-15,2027-11-03,Default
2f41cb39-e2e4-4697-b32a-bc0ebe6c44a0,Auto,c173b291-2b46-46b3-bfe1-ac4dcd948500,366,9,2021-07-17,2029-01-06,Closed
deb685b0-3379-4dca-95b7-022d95fc23a0,Education,9bab18d3-6a49-409a-a536-745378bb9eb0,239,7,2018-06-20,2026-09-15,Active
b2ae5f37-7a14-4425-8375-6b1262da28e5,Personal,7b9ac17d-641e-4aef-abd0-3e7c40d130fc,956,5,2018-09-22,2028-03-28,Active
badb291f-d870-4d53-a9bb-6d86f06bfeaa,Auto,6a57f2ed-e1c1-4ad6-afa1-2ffaab372997,678,7,2019-09-30,2029-07-28,Active
13188d04-fd8f-4f94-8ac6-9e68119458e4,Education,e32670d8-c513-40a4-9f62-4e0c0b6ce57f,463,7,2018-04-05,2028-05-03,Active
22e09890-b75a-4f3d-93ff-15bad9ca56c7,Auto,88c7e311-afdb-482d-9110-64e473fda618,142,11,2019-04-08,2028-11-03,Default
a3b1d465-5acf-461a-818e-422f16481c57,Personal,702b9166-88cb-4f76-9f96-2324d31aff04,372,8,2021-07-02,2029-11-21,Active
fda7fbc3-091c-40e3-b6d8-0916fd42d8a3,Home,e0f7d24b-a4b3-4fe2-8498-57460a68bdbc,117,5,2020-12-04,2026-01-01,Active
2656de79-1e39-4a1f-9fe3-f76fa0de100c,Personal,1faca188-f8d8-4ffe-aebf-10de9d09d557,210,6,2023-05-19,2023-12-31,Closed
986cc89b-7e6f-41fa-8e38-44cf26a53f80,Auto,2ee30108-a400-4bd7-b166-b828064705c2,773,2,2022-09-25,2024-01-29,Default
